Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,Precision_macro,Recall_macro,F1_macro,Fit_time_sec,Predict_time_sec
Random Forest,0.9956333333333334,0.9956236753613167,0.9956333333333334,0.9956212989514885,0.8080148004379817,0.8100916056255185,0.8087673867679319,107.14957594871521,0.26953816413879395
KNN,0.9810333333333333,0.9839131885472421,0.9810333333333333,0.9820932393949217,0.6715110858495318,0.736022107133275,0.6971727964263437,0.2552800178527832,218.6318109035492
Logistic Regression,0.7417333333333334,0.9500162684113085,0.7417333333333334,0.8176290740108065,0.27934235438706095,0.6694615487362707,0.3237729729090039,575.4625265598297,0.030387401580810547
SVM,0.7159666666666666,0.9441184600362365,0.7159666666666666,0.7952843555088731,0.26908534798265565,0.6549446309467434,0.3136190603962685,2766.545446872711,0.08254337310791016
Naive Bayes,0.11383333333333333,0.857214439487285,0.11383333333333333,0.13893377237240123,0.142214873182107,0.3717306768696774,0.09010730546460631,1.899083137512207,0.029393672943115234
